,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
175,139,Kofi Opare,DC,D,105000.0,120000.0,25,1,2214,2,1,2,0,1.2,80.5,2.7,2,6.81
176,281,Jonathan Osorio,TOR,M,191762.5,200237.13,9,18,1062,2,1,1,0,0.6,89.4,0.1,0,6.45
177,204,David Ousted,VAN,GK,360000.0,378933.33,28,0,2453,0,0,2,1,0.0,59.0,0.3,0,6.66
178,163,Tim Parker,VAN,D,80850.0,99600.0,32,0,2880,1,1,4,0,0.6,79.7,2.3,1,6.74
179,190,Michael Parkhurst,ATL,D,325008.0,325008.0,33,0,2906,0,0,4,0,0.0,86.0,0.4,0,6.69
180,146,Damien Perrinelle,NYRB,D,175008.0,175008.0,22,3,1972,0,1,4,0,0.4,75.6,1.6,0,6.79
181,4,Ignacio Piatti,MTL,M,450000.0,450000.0,26,2,2370,17,5,3,0,2.7,76.4,0.1,7,7.45
182,75,Joao Plata,RSL,F,350000.04,400000.04,27,2,2320,7,4,1,0,3.3,79.7,0.2,2,6.95
183,56,Matt Polster,CHI,M,99900.0,114900.0,21,1,1769,1,5,3,0,0.4,85.0,1.1,0,7.01
184,81,Chris Pontius,PHI,M,400000.0,431000.0,27,3,2255,2,6,0,0,1.4,72.6,3.8,1,6.93
185,93,Alvas Powell,POR,D,115000.0,123700.0,19,4,1690,2,2,3,0,0.6,75.7,1.2,1,6.9
186,89,Romell Quioto,HOU,F,200004.0,212504.0,14,8,1283,7,3,4,0,2.0,73.8,0.9,2,6.91
187,287,Jukka Raitala,CLB,D,125004.0,161670.67,20,8,1921,0,1,4,0,0.3,78.4,1.0,0,6.44
188,181,Christian Ramirez,MNUFC,M,350004.0,392504.4,27,3,2392,14,3,1,0,2.0,71.9,0.4,2,6.7
189,272,Tommy Redding,ORL,D,110000.0,117500.0,14,4,1406,0,0,3,0,0.1,83.0,0.9,0,6.49
190,133,Yordy Reyna,VAN,M,440000.04,533700.04,11,7,1075,6,3,3,0,1.4,77.0,0.2,1,6.82
191,152,Tosaint Ricketts,TOR,F,180000.0,193166.67,9,13,1002,7,1,0,0,1.4,68.6,1.8,2,6.77
192,197,Nick Rimando,RSL,GK,450000.0,470000.0,28,0,2488,0,0,1,0,0.0,62.5,0.1,1,6.68
193,22,Alexander Ring,NYCFC,M,340000.08,376666.75,29,0,2604,0,3,10,0,0.8,82.7,1.1,0,7.19
194,261,Carlos Rivas,ORL,M,375000.0,375000.0,21,9,1962,5,2,3,0,2.5,68.2,0.1,0,6.52
195,210,Luis Robles,NYRB,GK,290000.0,292500.0,34,0,3060,0,0,4,0,0.0,62.7,0.3,0,6.64
196,6,Cristian Roldan,SEA,M,115000.0,137000.0,33,0,2960,6,2,3,0,1.2,84.0,1.1,4,7.4
197,27,Kelyn Rowe,NE,M,165000.0,230000.0,21,2,1898,1,6,3,0,1.5,74.3,1.0,0,7.15
198,73,Daniel Royer,NYRB,M,450000.0,450000.0,23,3,1870,12,2,5,0,2.0,71.4,1.2,3,6.95
199,255,Mohammed Saeid,COL,M,160000.0,170000.0,27,2,2269,1,2,2,0,0.4,82.3,0.3,0,6.53
200,259,Michael Salazar,MTL,F,54075.0,54075.0,7,10,691,3,2,1,0,0.6,76.6,0.8,1,6.53
201,234,Shea Salinas,SJ,M,185000.0,185000.0,15,10,1437,1,2,3,0,0.2,75.4,0.6,3,6.6
202,236,Lloyd Sam,DC,M,240000.0,250000.0,23,7,2026,2,4,5,1,0.8,77.5,0.3,0,6.59
203,278,Kofi Sarkodie,SJ,D,135000.0,140000.0,16,2,1326,0,1,1,1,0.2,79.6,0.7,0,6.46
204,239,Marcelo Sarvas,DC,M,360000.0,425000.0,19,6,1841,0,0,8,0,0.4,79.7,0.4,0,6.59
205,24,Bastian Schweinsteiger,CHI,M,5400000.0,5400000.0,23,1,1994,3,2,5,0,1.0,86.6,1.0,4,7.18
206,294,Dillon Serna,COL,M,72600.0,85600.0,9,10,946,1,1,0,0,1.4,70.7,0.3,0,6.41
207,260,Brek Shea,VAN,M,625000.0,670000.0,14,11,1326,4,2,2,1,0.9,64.4,1.0,1,6.53
208,214,Bobby Shuttleworth,MNUFC,GK,155000.0,171875.0,32,1,2840,0,0,4,0,0.0,58.4,0.2,3,6.63
209,222,Luis Silva,RSL,M,200004.0,208670.67,20,10,1777,7,3,5,0,1.9,73.9,0.6,1,6.62
210,323,Jay Simpson,PHI,F,465000.0,508333.33,4,18,472,1,0,0,0,0.6,87.0,0.3,0,6.18
211,237,Seth Sinovic,KC,D,125000.0,132666.67,32,0,2858,1,2,6,0,0.5,83.5,0.8,0,6.59
212,252,Axel Sjoberg,COL,D,108350.0,123350.0,19,0,1638,1,0,1,1,0.6,83.0,1.6,0,6.55
213,150,Luis Solignac,CHI,F,274999.92,328312.42,26,7,2156,7,4,1,0,1.4,77.1,0.9,0,6.77
214,104,Jonathan Spector,ORL,D,549996.0,611933.5,25,0,2176,1,0,4,1,0.2,82.1,1.4,1,6.88
215,191,Zack Steffen,CLB,GK,105000.0,105000.0,34,0,3060,0,0,3,0,0.0,65.4,0.3,0,6.68
216,85,Daniel Steres,LA,D,105000.0,112062.6,21,0,1843,3,0,1,0,0.8,85.4,2.1,1,6.92
217,165,Scott Sutter,ORL,D,240000.0,240000.0,30,2,2729,1,4,1,0,0.5,80.4,1.1,1,6.74
